symbol,characterId,frame,visibleMinXFromRegistration,visibleMinYFromRegistration,visibleMaxXFromRegistration,visibleMaxYFromRegistration,exportWidth,exportHeight
Monster5Bullet2_1,102,1,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,2,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,3,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,4,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,5,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,6,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,7,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,8,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,9,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,10,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet1,105,1,-0.0,-0.0,189.25,204.6,189.25,204.6
Monster5Bullet1,105,2,-0.0,-0.0,189.25,204.6,189.25,204.6
Monster5Bullet1,105,3,-0.0,-0.0,189.25,204.6,189.25,204.6
Monster5Bullet1,105,4,-0.0,-0.0,189.25,204.6,189.25,204.6
Monster5Bullet3,80,1,6.55,-0.0,396.3,133.8,389.75,133.8
Monster5Bullet3,80,2,6.55,-0.0,396.3,133.8,389.75,133.8
Monster5Bullet3,80,3,6.55,-0.0,396.3,133.8,389.75,133.8
Monster5Bullet3,80,4,6.55,-0.0,396.3,133.8,389.75,133.8
Monster5Bullet2_2,93,1,-0.0,-4.2,256.0,175.8,256.0,180.0
Monster5Bullet2_2,93,2,-0.0,-4.2,256.0,175.8,256.0,180.0
Monster5Bullet2_2,93,3,-0.0,-4.2,256.0,175.8,256.0,180.0
Monster5Bullet2_2,93,4,-0.0,-4.2,256.0,175.8,256.0,180.0
Monster5Bullet2_2,93,5,-0.0,-4.2,256.0,175.8,256.0,180.0
Monster5Bullet2_2,93,6,-0.0,-4.2,256.0,175.8,256.0,180.0
